record_id;wearlog_type;wearlog_event;wearlog_off;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;startdate;enddate;wear_log_complete
221;0;1;;23.10.2023 11:22;;;;;;;;;;;;;;;;;23.10.2023 11:22;23.10.2023 11:22;0
221;0;2;;;23.10.2023 23:24;;;;;;;;;;;;;;;;23.10.2023 23:24;23.10.2023 23:24;0
221;0;1;;24.10.2023 08:25;;;;;;;;;;;;;;;;;24.10.2023 08:29;24.10.2023 08:29;0
221;0;0;24.10.2023 13:30;;;;1;;1;;;;;;;;;;;;24.10.2023 13:30;24.10.2023 13:30;0
221;0;2;;;24.10.2023 23:59;;;;;;;;;;;;;;;;25.10.2023 00:01;25.10.2023 00:01;0
221;0;1;;25.10.2023 09:17;;;;;;;;;;;;;;;;;25.10.2023 09:17;25.10.2023 09:17;0
221;1;;;;;;;;;1;1;;24.10.2023 13:35;;;;;;;;25.10.2023 09:17;25.10.2023 09:18;0
221;0;1;;25.10.2023 18:57;;;;;;;;;;;;;;;;;25.10.2023 18:57;25.10.2023 18:58;0
221;0;2;;;25.10.2023 23:29;;;;;;;;;;;;;;;;25.10.2023 23:29;25.10.2023 23:29;0
221;0;1;;26.10.2023 08:22;;;;;;;;;;;;;;;;;26.10.2023 08:22;26.10.2023 08:22;0
221;1;;;;;;;;;0;1;25.10.2023 16:15;;;;;;1;;0;26.10.2023 13:08;26.10.2023 13:09;0
221;0;2;;;26.10.2023 23:24;;;;;;;;;;;;;;;;26.10.2023 23:24;26.10.2023 23:24;0
221;0;1;;27.10.2023 09:48;;;;;;;;;;;;;;;;;27.10.2023 09:48;27.10.2023 09:49;0
221;0;0;27.10.2023 22:01;;;;1;;0;;;;;;;;;;;;27.10.2023 22:01;27.10.2023 22:02;0
221;0;2;;;28.10.2023 05:03;;;;;;;;;;;;;;;;28.10.2023 05:03;28.10.2023 05:04;0
221;0;1;;28.10.2023 11:13;;;;;;;;;;;;;;;;;28.10.2023 11:13;28.10.2023 11:13;0
221;0;0;28.10.2023 16:07;;;;1;;1;;;;;;;;;;;;28.10.2023 16:07;28.10.2023 16:07;0
221;0;1;;28.10.2023 17:43;;;;;;;;;;;;;;;;;28.10.2023 17:43;28.10.2023 17:44;0
221;0;2;;;29.10.2023 00:25;;;;;;;;;;;;;;;;29.10.2023 00:29;29.10.2023 00:29;0
221;0;1;;29.10.2023 10:02;;;;;;;;;;;;;;;;;29.10.2023 10:02;29.10.2023 10:02;0
221;1;;;;;;;;;0;0;29.10.2023 15:21;;;;;;0;on the table;0;29.10.2023 18:21;29.10.2023 18:21;0
221;0;1;;29.10.2023 18:21;;;;;;;;;;;;;;;;;29.10.2023 18:21;29.10.2023 18:22;0
221;0;2;;;30.10.2023 00:30;;;;;;;;;;;;;;;;30.10.2023 00:30;30.10.2023 00:30;0
221;0;1;;30.10.2023 07:58;;;;;;;;;;;;;;;;;30.10.2023 07:58;30.10.2023 07:58;0
