record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;startdate;enddate
214;;;;;;
214;light_exposure_diary;1;1;4;26.09.2023 08:52;26.09.2023 08:52
214;light_exposure_diary;2;1;4;26.09.2023 22:10;26.09.2023 22:10
214;light_exposure_diary;3;1;4;27.09.2023 22:42;27.09.2023 22:43
214;light_exposure_diary;4;1;4;29.09.2023 07:00;29.09.2023 07:00
214;light_exposure_diary;5;1;4;29.09.2023 22:20;29.09.2023 22:20
214;light_exposure_diary;6;1;4;30.09.2023 23:04;30.09.2023 23:04
214;light_exposure_diary;7;1;4;02.10.2023 09:02;02.10.2023 09:02
