record_id;wearlog_type;wearlog_event;wearlog_off;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;startdate;enddate;wear_log_complete
210;0;1;;04.09.2023 15:20;;;;;;;;;;;;;;;;;04.09.2023 15:20;04.09.2023 15:21;0
210;0;2;;;05.09.2023 00:48;;;;;;;;;;;;;;;;05.09.2023 00:48;05.09.2023 00:48;0
210;0;1;;05.09.2023 06:41;;;;;;;;;;;;;;;;;05.09.2023 06:41;05.09.2023 06:41;0
210;0;0;05.09.2023 06:59;;;;1;;0;;;;;;;;;;;;05.09.2023 06:59;05.09.2023 07:00;0
210;0;1;;05.09.2023 07:12;;;;;;;;;;;;;;;;;05.09.2023 07:12;05.09.2023 07:12;0
210;0;2;;;06.09.2023 00:28;;;;;;;;;;;;;;;;06.09.2023 00:28;06.09.2023 00:29;0
210;0;1;;06.09.2023 05:28;;;;;;;;;;;;;;;;;06.09.2023 05:28;06.09.2023 05:29;0
210;1;;;;;;;;;0;1;06.09.2023 07:50;;;;;;1;;0;06.09.2023 08:13;06.09.2023 08:14;0
210;1;;;;;;;;;1;1;;06.09.2023 08:00;;;;;;;;06.09.2023 08:14;06.09.2023 08:14;0
210;0;2;;;06.09.2023 23:26;;;;;;;;;;;;;;;;06.09.2023 23:26;06.09.2023 23:27;0
210;0;1;;07.09.2023 06:49;;;;;;;;;;;;;;;;;07.09.2023 06:49;07.09.2023 06:49;0
210;0;2;;;08.09.2023 00:24;;;;;;;;;;;;;;;;08.09.2023 00:24;08.09.2023 00:24;0
210;0;1;;08.09.2023 07:03;;;;;;;;;;;;;;;;;08.09.2023 07:03;08.09.2023 07:04;0
210;1;;;;;;;;;0;1;08.09.2023 08:17;;;;;;0;table;0;08.09.2023 08:39;08.09.2023 08:39;0
210;1;;;;;;;;;1;1;;08.09.2023 08:27;;;;;;;;08.09.2023 08:39;08.09.2023 08:40;0
210;0;2;;;08.09.2023 23:08;;;;;;;;;;;;;;;;08.09.2023 23:08;08.09.2023 23:08;0
210;0;1;;09.09.2023 08:08;;;;;;;;;;;;;;;;;09.09.2023 08:08;09.09.2023 08:08;0
210;0;2;;;09.09.2023 23:11;;;;;;;;;;;;;;;;09.09.2023 23:11;09.09.2023 23:11;0
210;0;1;;10.09.2023 07:06;;;;;;;;;;;;;;;;;10.09.2023 07:06;10.09.2023 07:06;0
210;0;2;;;11.09.2023 00:01;;;;;;;;;;;;;;;;11.09.2023 00:01;11.09.2023 00:01;0
