record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;startdate;enddate
229;;;;;;
229;light_exposure_diary;1;1;4;06.11.2023 22:25;06.11.2023 22:25
229;light_exposure_diary;2;1;4;07.11.2023 22:30;07.11.2023 22:30
229;light_exposure_diary;3;1;4;09.11.2023 06:42;09.11.2023 06:42
229;light_exposure_diary;4;1;4;09.11.2023 22:51;09.11.2023 22:51
229;light_exposure_diary;5;1;4;10.11.2023 23:37;10.11.2023 23:37
229;light_exposure_diary;6;1;5;11.11.2023 23:21;11.11.2023 23:21
229;light_exposure_diary;7;1;5;12.11.2023 23:16;12.11.2023 23:16
