record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;startdate;enddate
228;;;;;;
228;light_exposure_diary;1;1;4;06.11.2023 21:58;06.11.2023 23:16
228;light_exposure_diary;2;1;4;07.11.2023 23:01;07.11.2023 23:07
228;light_exposure_diary;3;1;3;08.11.2023 22:34;08.11.2023 22:34
228;light_exposure_diary;4;1;3;10.11.2023 00:01;10.11.2023 00:06
228;light_exposure_diary;5;1;3;11.11.2023 00:03;11.11.2023 00:03
228;light_exposure_diary;6;1;2;11.11.2023 23:34;11.11.2023 23:34
228;light_exposure_diary;7;1;3;12.11.2023 22:33;12.11.2023 22:33
