record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;startdate;enddate
231;;;;;;
231;light_exposure_diary;1;1;3;07.11.2023 00:20;07.11.2023 00:20
231;light_exposure_diary;2;1;4;07.11.2023 23:51;07.11.2023 23:51
231;light_exposure_diary;3;1;3;09.11.2023 00:34;09.11.2023 00:35
231;light_exposure_diary;4;1;2;10.11.2023 00:50;10.11.2023 00:50
231;light_exposure_diary;5;1;3;11.11.2023 00:44;11.11.2023 00:44
231;light_exposure_diary;6;1;3;12.11.2023 00:38;12.11.2023 00:38
231;light_exposure_diary;7;1;2;13.11.2023 01:09;13.11.2023 01:09
