record_id;redcap_repeat_instrument;redcap_repeat_instance;ema_light;currentight;check_mixedlight;additional_light;currentmood;anxious;elated;sad;angry;irritable;energetic;kss_instr;kss;startdate_4;enddate_4
215;;;;;;;;;;;;;;;;;
215;current_light_mood_and_alertness;1;1;I;0;;1;1;0;0;0;2;3;1;5;02.10.2023 14:00;02.10.2023 14:01
215;current_light_mood_and_alertness;2;1;I;0;;1;2;0;0;0;1;1;1;6;02.10.2023 17:02;02.10.2023 17:02
215;current_light_mood_and_alertness;3;1;S;0;;1;1;1;0;0;1;0;1;6;02.10.2023 20:00;02.10.2023 20:01
215;current_light_mood_and_alertness;4;1;O;0;;1;0;2;0;0;2;3;1;3;03.10.2023 11:01;03.10.2023 11:02
215;current_light_mood_and_alertness;5;1;I;0;;1;3;0;2;0;1;0;1;6;03.10.2023 14:00;03.10.2023 14:00
215;current_light_mood_and_alertness;6;1;I;1;E;1;1;0;3;0;2;0;1;7;03.10.2023 17:00;03.10.2023 17:01
215;current_light_mood_and_alertness;7;1;L;1;E;1;0;0;1;0;1;0;1;8;03.10.2023 20:00;03.10.2023 20:00
215;current_light_mood_and_alertness;8;1;S;0;;1;0;0;1;0;2;1;1;6;04.10.2023 11:01;04.10.2023 11:01
215;current_light_mood_and_alertness;9;1;I;0;;1;0;2;0;0;0;4;1;2;04.10.2023 14:00;04.10.2023 14:00
215;current_light_mood_and_alertness;10;1;I;1;E;1;0;0;0;0;0;2;1;4;04.10.2023 17:00;04.10.2023 17:01
215;current_light_mood_and_alertness;11;1;L;0;;1;4;0;0;0;3;0;1;8;04.10.2023 20:00;04.10.2023 20:01
215;current_light_mood_and_alertness;12;1;I;1;E;1;1;2;1;0;1;3;1;3;05.10.2023 11:09;05.10.2023 11:09
215;current_light_mood_and_alertness;13;1;I;1;E;1;0;0;0;0;2;2;1;6;05.10.2023 14:00;05.10.2023 14:00
215;current_light_mood_and_alertness;14;1;I;1;E;1;1;4;0;0;0;3;1;4;05.10.2023 17:00;05.10.2023 17:01
215;current_light_mood_and_alertness;15;1;L;1;E;1;4;0;2;2;4;3;1;4;05.10.2023 20:00;05.10.2023 20:01
215;current_light_mood_and_alertness;16;1;L;0;;1;0;3;0;0;2;3;1;4;06.10.2023 11:00;06.10.2023 11:00
215;current_light_mood_and_alertness;17;1;L;1;I;1;0;3;0;0;0;4;1;3;06.10.2023 14:02;06.10.2023 14:03
215;current_light_mood_and_alertness;18;1;O;0;;1;0;0;0;0;1;1;1;5;06.10.2023 17:01;06.10.2023 17:01
215;current_light_mood_and_alertness;19;1;L;0;;1;3;0;1;0;2;2;1;6;06.10.2023 20:44;06.10.2023 20:44
215;current_light_mood_and_alertness;20;1;L;1;S;1;0;3;0;0;0;5;1;2;07.10.2023 12:22;07.10.2023 12:23
215;current_light_mood_and_alertness;21;1;O;1;E;1;0;2;0;0;0;3;1;4;07.10.2023 14:00;07.10.2023 14:00
215;current_light_mood_and_alertness;22;1;I;1;E;1;1;2;2;0;0;5;1;1;07.10.2023 17:00;07.10.2023 17:01
215;current_light_mood_and_alertness;23;1;L;0;;1;0;2;0;0;0;2;1;4;07.10.2023 20:02;07.10.2023 20:03
215;current_light_mood_and_alertness;24;1;I;1;E;1;0;4;0;0;0;4;1;3;08.10.2023 11:00;08.10.2023 11:01
215;current_light_mood_and_alertness;25;1;I;1;E;1;1;3;1;0;1;2;1;2;08.10.2023 14:00;08.10.2023 14:01
215;current_light_mood_and_alertness;26;1;O;0;;1;0;4;0;0;0;5;1;2;08.10.2023 17:00;08.10.2023 17:01
215;current_light_mood_and_alertness;27;1;L;0;;1;0;3;1;0;2;2;1;3;08.10.2023 20:00;08.10.2023 20:01
