record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;startdate;enddate
222;;;;;;
222;light_exposure_diary;1;1;5;23.10.2023 22:59;23.10.2023 22:59
222;light_exposure_diary;2;1;5;25.10.2023 07:21;25.10.2023 07:21
222;light_exposure_diary;3;1;5;25.10.2023 21:39;25.10.2023 21:40
222;light_exposure_diary;4;1;4;27.10.2023 08:42;27.10.2023 08:42
222;light_exposure_diary;5;1;5;28.10.2023 07:07;28.10.2023 07:07
222;light_exposure_diary;6;1;5;28.10.2023 22:58;28.10.2023 22:58
222;light_exposure_diary;7;1;5;29.10.2023 22:24;29.10.2023 22:24
